ym,touban,tot_n,tot_top3,c1n,c1w,c4n,c4w,c4mk,c4st_sum,c4st_n,c6n,c6w2,c6w3,c6st_sum,c6st_n,t4n,t4mk,t6n,t6_23
2025-07,3800,11,3,1,1,2,0,0,0.39,2,2,0,0,0.31,2,0,0,0,0
2025-07,3801,2,2,0,0,1,1,1,0.17,1,0,0,0,0,0,0,0,0,0
2025-07,3804,10,3,1,0,2,0,0,0.36,2,1,0,0,0.28,1,0,0,0,0
2025-07,3805,11,8,2,1,3,0,0,0.44,3,0,0,0,0,0,0,0,0,0
2025-07,3808,6,1,1,0,1,0,0,0.04,1,2,0,0,0.42,2,0,0,0,0
2025-07,3809,9,5,2,0,2,0,0,0.37,2,0,0,0,0,0,0,0,0,0
2025-07,3811,9,8,3,2,1,0,0,0.14,1,1,0,0,0.33,1,0,0,0,0
2025-07,3812,4,1,0,0,2,0,0,0.41,2,0,0,0,0,0,0,0,0,0
2025-07,3814,9,2,2,1,1,0,0,0.23,1,2,0,0,0.43,2,0,0,0,0
2025-07,3820,8,0,2,0,0,0,0,0,0,2,0,0,0.34,2,0,0,0,0
2025-07,3822,11,8,2,2,1,0,0,0.19,1,1,0,0,0.07,1,0,0,0,0
2025-07,3825,9,2,1,1,2,0,0,0.27,2,2,0,0,0.32,2,0,0,0,0
2025-07,3826,3,2,1,1,1,0,0,0.19,1,0,0,0,0,0,0,0,0,0
2025-07,3827,4,1,0,0,1,0,0,0.26,1,0,0,0,0,0,0,0,0,0
2025-07,3828,9,5,1,0,2,0,0,0.27,2,1,0,0,0.21,1,0,0,0,0
2025-07,3831,8,1,0,0,1,0,0,0,0,3,0,0,0.59,3,0,0,0,0
2025-07,3832,12,7,2,0,1,0,0,0.05,1,4,0,0,0.78,4,0,0,0,0
2025-07,3833,12,4,4,3,3,0,0,0.66,3,1,0,0,0.2,1,0,0,0,0
2025-07,3834,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3837,10,7,2,1,1,0,0,0.16,1,1,0,0,0.17,1,0,0,0,0
2025-07,3838,5,1,1,0,2,0,0,0.23,2,1,0,0,0.09,1,0,0,0,0
2025-07,3841,7,1,1,1,1,0,0,0.19,1,1,0,0,0.15,1,0,0,0,0
2025-07,3843,11,3,2,0,3,0,0,0.48,3,2,0,0,0.25,2,0,0,0,0
2025-07,3849,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3850,10,5,1,1,2,0,0,0.21,2,0,0,0,0,0,0,0,0,0
2025-07,3851,3,1,0,0,1,0,0,0.15,1,0,0,0,0,0,0,0,0,0
2025-07,3852,11,3,2,1,2,0,0,0.21,2,1,0,0,0.05,1,0,0,0,0
2025-07,3853,4,1,1,0,1,0,0,0.22,1,1,0,0,0.28,1,0,0,0,0
2025-07,3854,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3855,8,1,2,0,2,0,0,0.54,2,2,0,0,0.63,2,0,0,0,0
2025-07,3860,9,1,1,0,1,0,0,0.27,1,1,0,0,0.21,1,0,0,0,0
2025-07,3863,8,1,1,0,1,0,0,0.25,1,2,0,0,0.49,2,0,0,0,0
2025-07,3866,5,0,1,0,0,0,0,0,0,2,0,0,0.08,2,0,0,0,0
2025-07,3867,8,3,1,1,2,0,0,0.25,2,1,0,0,0.15,1,0,0,0,0
2025-07,3868,5,3,1,0,0,0,0,0,0,1,0,0,0.25,1,0,0,0,0
2025-07,3869,12,5,1,1,2,0,0,0.23,2,1,0,0,0.17,1,0,0,0,0
2025-07,3870,11,6,1,1,4,0,0,0.86,4,1,0,0,0.19,1,0,0,0,0
2025-07,3872,14,6,2,2,2,0,0,0.58,2,3,1,0,0.87,3,0,0,0,0
2025-07,3873,7,5,1,1,2,0,0,0.15,2,1,0,1,0.13,1,0,0,0,0
2025-07,3874,10,4,2,1,2,0,0,0.3,2,1,0,0,0.13,1,0,0,0,0
2025-07,3875,9,8,1,1,1,0,0,0.11,1,0,0,0,0,0,0,0,0,0
2025-07,3878,10,2,1,1,1,0,0,0.11,1,1,0,0,0.09,1,0,0,0,0
2025-07,3880,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3882,10,5,1,0,3,0,0,0.56,3,2,1,0,0.4,2,0,0,0,0
2025-07,3888,11,6,2,1,3,0,0,0.28,3,2,0,0,0.33,2,0,0,0,0
2025-07,3889,10,4,1,0,1,0,0,0.23,1,2,0,0,0.38,2,0,0,0,0
2025-07,3891,8,4,1,0,3,0,0,0.47,3,0,0,0,0,0,0,0,0,0
2025-07,3892,9,3,1,0,2,0,0,0.3,2,1,0,0,0.11,1,0,0,0,0
2025-07,3893,7,2,1,1,1,0,0,0.15,1,1,0,0,0.2,1,0,0,0,0
2025-07,3897,9,5,1,0,2,0,0,0.22,2,1,0,0,0.09,1,0,0,0,0
2025-07,3900,12,10,2,2,2,1,0,0.23,2,2,0,1,0.24,2,0,0,0,0
2025-07,3901,9,7,1,0,3,1,1,0.46,3,1,0,0,0.12,1,0,0,0,0
2025-07,3905,9,7,2,2,2,0,0,0.23,2,3,0,0,0.42,3,0,0,0,0
2025-07,3906,10,5,2,2,1,0,0,0.11,1,2,0,0,0.31,2,0,0,0,0
2025-07,3907,8,2,1,0,1,0,0,0.14,1,1,0,1,0.19,1,0,0,0,0
2025-07,3908,11,9,3,3,3,0,0,0.33,3,1,0,0,0.1,1,0,0,0,0
2025-07,3909,9,7,1,1,2,1,0,0.13,2,0,0,0,0,0,0,0,0,0
2025-07,3910,6,3,2,1,2,0,0,0.4,2,0,0,0,0,0,0,0,0,0
2025-07,3911,7,5,2,2,0,0,0,0,0,2,0,0,0.24,2,0,0,0,0
2025-07,3912,2,2,0,0,1,1,1,0.04,1,0,0,0,0,0,0,0,0,0
2025-07,3915,9,3,2,2,1,1,1,0.09,1,2,0,0,0.45,2,0,0,0,0
2025-07,3918,6,6,1,1,1,1,1,0.16,1,1,0,1,0.23,1,0,0,0,0
2025-07,3920,5,4,0,0,1,0,0,0.28,1,0,0,0,0,0,0,0,0,0
2025-07,3921,4,2,0,0,0,0,0,0,0,1,0,0,0.2,1,0,0,0,0
