c2_regno,c1_regno,c1_won,win_course,kimarite
5232,5206,0,2,まくり
5102,5319,0,3,抜き
5302,5136,0,1,逃げ
5292,5093,1,1,逃げ
5229,4980,1,1,逃げ
5074,5142,0,3,まくり差し
5112,4910,1,1,逃げ
5106,5058,0,4,まくり差し
3708,3718,0,3,まくり差し
3542,4031,1,1,逃げ
5131,4332,0,3,恵まれ
3911,4496,1,1,逃げ
3454,4633,0,2,差し
4440,4116,0,3,まくり
3708,4877,0,3,まくり差し
4417,4466,1,1,逃げ
4431,3542,1,1,逃げ
4207,4297,0,4,差し
4740,3743,1,1,逃げ
4356,4363,1,1,逃げ
5022,3736,1,1,逃げ
5007,5029,1,1,逃げ
4330,5190,0,2,まくり
3161,5253,1,1,逃げ
5359,4406,0,3,抜き
4256,2878,0,2,差し
3736,4180,0,3,抜き
4082,5135,0,2,差し
4234,3161,0,4,差し
4083,4330,1,1,逃げ
4906,4384,1,1,逃げ
4311,3590,1,1,逃げ
5245,5331,0,4,差し
4081,4380,0,3,まくり
4815,4068,1,1,逃げ
4232,5183,1,1,逃げ
5128,4752,0,3,まくり差し
4861,5208,0,6,まくり差し
5023,5308,0,3,差し
4380,3517,1,1,逃げ
3869,4581,1,1,抜き
4792,4552,1,1,逃げ
5252,4715,0,4,抜き
4754,5042,0,4,まくり
4947,4726,1,1,逃げ
4746,4878,1,1,逃げ
4501,3580,0,2,まくり
5182,4275,0,2,まくり
5283,4791,1,1,逃げ
4590,4924,0,3,まくり差し
5155,4845,1,1,逃げ
4758,4694,0,3,まくり
5320,4738,1,1,逃げ
5287,4746,1,1,逃げ
3474,4590,1,1,逃げ
5213,4482,0,5,抜き
3550,4516,1,1,逃げ
3773,3629,1,1,逃げ
4874,3265,0,1,逃げ
5200,4536,1,1,逃げ
3920,3226,0,3,差し
3158,3775,0,5,まくり差し
3156,4874,0,5,まくり
4516,3711,0,3,まくり差し
4547,3995,1,1,逃げ
3265,3557,1,1,逃げ
4396,3825,1,1,逃げ
4274,3401,0,4,まくり
5020,3568,0,4,まくり
4796,4364,1,2,まくり
3362,4416,1,1,逃げ
4545,3641,1,1,抜き
4991,4370,0,3,まくり差し
4374,4190,0,2,まくり
3362,4102,0,2,差し
4821,4532,0,4,まくり差し
4370,4545,1,1,逃げ
4504,4537,1,1,逃げ
4586,4391,1,1,逃げ
4337,4362,1,1,逃げ
3719,4848,1,1,逃げ
4450,4468,1,1,逃げ
4886,4826,1,1,逃げ
3415,4500,0,4,差し
4030,4502,1,1,逃げ
4205,3783,0,2,差し
3897,4524,1,1,逃げ
4024,4573,1,1,逃げ
4418,4238,0,2,まくり
