regno,選手名,n2,nige,exp,壁力,負けn,自分勝ち率,まくり決着率,壁,弱タイプ
3562,山下和彦,46,0.5435,0.5481,-0.5,21,0.286,0.81,,
4168,石野貴之,41,0.6341,0.6395,-0.5,15,0.4,0.667,,
4376,藤田靖弘,47,0.5532,0.5567,-0.4,21,0.19,0.857,,
5142,常住蓮,47,0.617,0.6196,-0.3,18,0.611,0.556,,
3661,柳瀬興志,48,0.5417,0.5442,-0.3,22,0.318,0.773,,
4743,木村仁紀,52,0.5769,0.5791,-0.2,22,0.409,0.727,,
4033,伊藤将吉,48,0.5833,0.5829,0.0,20,0.45,0.75,,
4420,津久井拓也,49,0.5714,0.5717,-0.0,21,0.143,0.905,,
3612,馬袋義則,64,0.5625,0.5615,0.1,28,0.179,0.893,,
4298,宮下元胤,48,0.5625,0.561,0.1,21,0.238,0.905,,
3997,北村征嗣,49,0.5918,0.5904,0.1,20,0.4,0.65,,
4994,山本梨菜,41,0.5366,0.535,0.2,19,0.421,0.737,,
3703,鳥飼眞,43,0.5814,0.5791,0.2,18,0.333,0.778,,
3687,花田和明,59,0.5593,0.5577,0.2,26,0.115,0.923,,
3744,徳増秀樹,40,0.625,0.622,0.3,15,0.467,0.6,,
4953,尾上雅也,44,0.5682,0.5656,0.3,19,0.526,0.684,,
5055,眞鳥章太,42,0.5714,0.567,0.4,18,0.556,0.5,,
4524,深谷知博,40,0.675,0.6708,0.4,13,0.385,0.769,,
3941,池田浩二,40,0.675,0.6715,0.4,13,0.615,0.538,,
4074,柳沢一,41,0.5854,0.5815,0.4,17,0.412,0.647,,
3898,平田忠則,41,0.5854,0.5814,0.4,17,0.412,0.647,,
3946,赤岩善生,128,0.5859,0.5812,0.5,53,0.245,0.792,,
5178,成貞琳平,40,0.55,0.5445,0.5,18,0.111,0.889,,
4978,山田和佐,45,0.5556,0.55,0.6,20,0.2,0.9,,
5096,上原崚,40,0.6,0.5935,0.6,16,0.312,0.812,,
3908,重成一人,44,0.6136,0.6078,0.6,17,0.471,0.588,,
