regno,選手名,n2,nige,exp,壁力,負けn,自分勝ち率,まくり決着率,壁,弱タイプ
3737,上平真二,42,0.5,0.6114,-11.1,21,0.381,0.524,,
3872,岡田憲行,42,0.4762,0.5854,-10.9,22,0.091,0.682,,
3920,正木聖賢,55,0.4364,0.5445,-10.8,31,0.097,0.903,,
4437,中田元泰,41,0.4878,0.5952,-10.7,21,0.143,0.714,,
4024,井口佳典,40,0.55,0.6573,-10.7,18,0.222,0.778,,
4286,平田さやか,46,0.413,0.5202,-10.7,27,0.185,0.63,,
3590,濱野谷憲吾,43,0.5581,0.6645,-10.6,19,0.526,0.632,,
3265,今村暢孝,129,0.4729,0.577,-10.4,68,0.279,0.588,,
4363,大野芳顕,45,0.5111,0.6146,-10.4,22,0.364,0.636,,
4963,實森美祐,42,0.5,0.6029,-10.3,21,0.476,0.619,,
4787,椎名豊,42,0.5,0.6024,-10.2,21,0.762,0.714,,
3663,木山和幸,40,0.5,0.6019,-10.2,20,0.15,0.6,,
5160,藤森陸斗,50,0.46,0.5606,-10.1,27,0.222,0.667,,
4848,仲谷颯仁,45,0.5556,0.6556,-10.0,20,0.4,0.55,,
4269,杉山裕也,44,0.5,0.6,-10.0,22,0.409,0.455,,
5076,石原光,43,0.4651,0.5633,-9.8,23,0.261,0.565,,
4537,渡邉和将,54,0.5,0.5978,-9.8,27,0.63,0.407,,
4390,松本弓雄,40,0.45,0.5475,-9.7,22,0.045,0.773,,
4122,安東幸治,50,0.5,0.5957,-9.6,25,0.12,0.48,,
5275,松田淳平,46,0.4783,0.5746,-9.6,24,0.667,0.458,,
3918,深井利寿,47,0.4894,0.5844,-9.5,24,0.292,0.542,,
4914,吉田裕平,40,0.6,0.6933,-9.3,16,0.375,0.688,,
4364,池永太,44,0.5455,0.6389,-9.3,20,0.45,0.55,,
4253,西川真人,42,0.4524,0.5439,-9.2,23,0.087,0.783,,
3441,土屋太朗,40,0.5,0.5918,-9.2,20,0.25,0.7,,
3965,北中元樹,44,0.4545,0.5457,-9.1,24,0.333,0.75,,
4514,上條嘉嗣,58,0.4828,0.574,-9.1,30,0.467,0.533,,
4199,北川潤二,90,0.4778,0.5677,-9.0,47,0.34,0.723,,
4089,妹尾忠幸,41,0.4878,0.5778,-9.0,21,0.143,0.905,,
4822,百武翔,47,0.4681,0.5565,-8.8,25,0.48,0.44,,
3542,清水紀克,123,0.4472,0.5343,-8.7,68,0.059,0.809,,
3983,須藤博倫,48,0.4792,0.5662,-8.7,25,0.48,0.4,,
5045,平川香織,43,0.4884,0.5757,-8.7,22,0.591,0.5,,
5157,市川健太,40,0.475,0.5616,-8.7,21,0.238,0.571,,
3623,深川真二,143,0.4965,0.583,-8.7,72,0.403,0.556,,
5191,飛田江己,52,0.5192,0.6052,-8.6,25,0.48,0.72,,
5257,西丸侑太朗,49,0.4898,0.5749,-8.5,25,0.44,0.72,,
4483,北野輝季,43,0.5349,0.6181,-8.3,20,0.45,0.55,,
4233,亀山雅幸,48,0.4583,0.5413,-8.3,26,0.423,0.731,,
4811,向井田佑紀,44,0.4773,0.5598,-8.3,23,0.217,0.739,,
4739,中村晃朋,50,0.5,0.5817,-8.2,25,0.36,0.64,,
5298,水谷理人,40,0.5,0.5817,-8.2,20,0.45,0.45,,
5028,原田才一郎,41,0.5122,0.5936,-8.1,20,0.55,0.45,,
4057,松井賢治,48,0.4583,0.5381,-8.0,26,0.308,0.654,,
4278,藤岡俊介,46,0.5,0.5794,-7.9,23,0.652,0.304,,
5058,前原大道,49,0.5102,0.5868,-7.7,24,0.458,0.5,,
4413,水摩敦,59,0.4746,0.5519,-7.7,31,0.194,0.581,,
4260,中越博紀,45,0.4889,0.5651,-7.6,23,0.304,0.565,,
5276,大島隆乃介,40,0.5,0.5752,-7.5,20,0.25,0.6,,
4241,大串重幸,41,0.5122,0.5859,-7.4,20,0.15,0.85,,
4433,川野芽唯,48,0.5208,0.5948,-7.4,23,0.652,0.522,,
5229,吉川晴人,40,0.5,0.5731,-7.3,20,0.2,0.75,,
4443,津田裕絵,45,0.4889,0.5594,-7.0,23,0.304,0.652,,
3771,折下寛法,43,0.4651,0.5356,-7.0,23,0.261,0.783,,
4793,金子萌,42,0.5238,0.5937,-7.0,20,0.5,0.35,,
4960,黒野元基,40,0.5,0.5701,-7.0,20,0.6,0.45,,
5010,宇留田翔平,51,0.4706,0.541,-7.0,27,0.259,0.667,,
4348,宮崎奨,44,0.5227,0.5931,-7.0,21,0.381,0.571,,
3946,赤岩善生,123,0.5041,0.573,-6.9,61,0.344,0.59,,
3690,河合三弘,41,0.4878,0.5567,-6.9,21,0.238,0.762,,
4737,竹井貴史,46,0.5217,0.5889,-6.7,22,0.682,0.5,,
5278,田中駿兵,43,0.4884,0.5551,-6.7,22,0.409,0.545,,
4210,松村康太,40,0.5,0.5661,-6.6,20,0.15,0.85,,
3703,鳥飼眞,45,0.4889,0.5545,-6.6,23,0.304,0.565,,
4377,濱本優一,44,0.4773,0.5432,-6.6,23,0.435,0.391,,
5068,前田滉,41,0.5366,0.6022,-6.6,19,0.632,0.526,,
