登番,全国1コ走数,全国逃げ率
4872,38,47.4
4873,49,51.0
4874,34,26.5
4875,32,34.4
4876,31,64.5
4877,53,64.2
4878,25,24.0
4879,28,32.1
4880,22,31.8
4883,26,69.2
4884,29,62.1
4885,23,65.2
4886,44,70.5
4887,35,54.3
4888,33,45.5
4889,29,55.2
4890,34,58.8
4891,27,40.7
4892,26,46.2
4893,28,35.7
4894,29,44.8
4895,29,44.8
4896,28,39.3
4897,24,25.0
4898,24,25.0
4899,21,47.6
4900,44,68.2
4901,22,50.0
4902,31,38.7
4903,56,75.0
4904,41,41.5
4905,20,35.0
4906,33,36.4
4907,64,75.0
4908,56,85.7
4909,30,50.0
4910,59,81.4
4911,25,48.0
4914,40,87.5
4917,27,29.6
4918,27,66.7
4924,30,26.7
4925,42,54.8
4926,45,84.4
4927,50,52.0
4928,46,58.7
4930,36,52.8
4931,59,72.9
4932,54,75.9
4933,41,75.6
4934,50,58.0
4936,42,69.0
4938,55,72.7
4939,50,80.0
4941,24,29.2
4942,38,44.7
4943,23,39.1
4945,21,4.8
4947,26,34.6
4948,34,50.0
4949,58,65.5
4950,44,79.5
4951,41,51.2
4952,22,40.9
4953,47,83.0
4957,29,51.7
4958,49,65.3
4959,51,80.4
4960,58,79.3
4961,54,66.7
4962,46,63.0
4963,48,77.1
4964,23,60.9
4965,22,36.4
4966,42,57.1
4967,49,73.5
4969,21,52.4
4973,45,53.3
4974,39,46.2
4976,23,26.1
4977,37,56.8
4978,35,45.7
4979,36,66.7
4980,57,77.2
4981,28,42.9
4982,26,50.0
4983,67,71.6
4984,26,42.3
4985,66,75.8
4987,24,41.7
4988,26,50.0
4989,43,69.8
4991,42,66.7
4992,27,63.0
4994,53,66.0
4995,30,50.0
5000,27,51.9
5002,48,60.4
5003,28,42.9
5004,29,62.1
5005,34,47.1
5007,29,48.3
5008,23,34.8
5009,39,56.4
5010,50,68.0
5011,21,33.3
5012,42,45.2
5013,36,61.1
5014,25,40.0
5015,53,90.6
5016,59,74.6
5017,46,78.3
5018,72,81.9
5019,30,33.3
5020,22,50.0
5023,29,72.4
5026,53,83.0
5027,27,33.3
5028,56,76.8
5029,47,72.3
5032,32,53.1
5033,23,39.1
5034,71,71.8
5035,29,41.4
5036,27,48.1
5037,24,37.5
5038,43,72.1
5039,33,51.5
5041,24,45.8
5042,56,71.4
5043,52,67.3
5044,35,60.0
5045,44,50.0
5046,28,35.7
5047,30,46.7
5048,20,45.0
5049,27,63.0
5050,37,59.5
5051,52,80.8
5053,29,58.6
5054,38,78.9
5055,44,59.1
5057,29,62.1
5058,53,90.6
5060,35,57.1
5061,21,28.6
5063,22,50.0
5064,44,65.9
5065,23,47.8
5066,38,60.5
5067,21,66.7
5068,53,77.4
5069,24,41.7
5070,21,38.1
5071,27,44.4
5073,38,44.7
5074,31,51.6
5075,52,44.2
5076,24,54.2
5078,25,56.0
5079,28,42.9
5081,53,50.9
5082,29,37.9
5083,27,48.1
5084,50,80.0
5085,32,37.5
5086,23,56.5
5087,52,63.5
5088,76,71.1
5089,61,68.9
5090,28,60.7
5091,27,77.8
5092,44,68.2
5093,41,58.5
