regno,選手名,全国ダッシュn,全国ダッシュST,全国スローn,全国スローST,当地ダッシュn,当地ダッシュST,当地スローn,当地スローST,採用スローST,スロー源,スロー遅れ,スロー巧者,採用ダッシュST,ダッシュ源,ダッシュ遅れ,ダッシュ巧者
5194,大久保佑香,98.0,0.163,98.0,0.168,,,,,0.168,全国,,,0.163,全国,,
5195,北村寧々,94.0,0.142,95.0,0.144,2.0,0.28,4.0,0.192,0.144,全国,,,0.142,全国,,
5196,鰐部太空海,110.0,0.149,125.0,0.159,3.0,0.11,5.0,0.146,0.159,全国,,,0.149,全国,,
5197,中野仁照,65.0,0.18,48.0,0.167,,,,,0.167,全国,,,0.18,全国,,
5198,奥村明日香,92.0,0.192,86.0,0.214,5.0,0.228,5.0,0.226,0.214,全国,●,,0.192,全国,●,
5199,垂水悠,97.0,0.118,90.0,0.125,,,,,0.125,全国,,●,0.118,全国,,●
5200,筒井美琴,55.0,0.195,44.0,0.21,,,,,0.21,全国,●,,0.195,全国,●,
5201,村上宗太郎,52.0,0.235,32.0,0.2,,,,,0.2,全国,●,,0.235,全国,●,
5203,神里琴音,95.0,0.155,96.0,0.159,4.0,0.108,7.0,0.124,0.159,全国,,,0.155,全国,,
5204,宇恵有香,43.0,0.162,42.0,0.181,12.0,0.186,15.0,0.182,0.182,当地,●,,0.186,当地,●,
5205,刑部亜里紗,124.0,0.182,130.0,0.163,3.0,0.2,1.0,0.19,0.163,全国,,,0.182,全国,●,
5206,梅原祥平,72.0,0.137,70.0,0.13,4.0,0.062,5.0,0.076,0.13,全国,,●,0.137,全国,,
5207,高山敬悟,86.0,0.153,83.0,0.166,,,,,0.166,全国,,,0.153,全国,,
5208,屋良龍紀,94.0,0.161,89.0,0.15,,,,,0.15,全国,,,0.161,全国,,
5209,小野京平,61.0,0.204,53.0,0.197,,,,,0.197,全国,●,,0.204,全国,●,
5210,藤井公人,106.0,0.151,95.0,0.144,6.0,0.137,5.0,0.148,0.144,全国,,,0.151,全国,,
5211,高井駿弥,90.0,0.165,87.0,0.181,,,,,0.181,全国,●,,0.165,全国,,
5212,西川拓利,97.0,0.139,102.0,0.128,,,,,0.128,全国,,●,0.139,全国,,
5213,湯淺紀香,115.0,0.205,113.0,0.172,5.0,0.19,5.0,0.164,0.172,全国,,,0.205,全国,●,
5214,田中宏典,86.0,0.181,96.0,0.176,,,,,0.176,全国,,,0.181,全国,●,
5216,長谷川晴哉,108.0,0.16,146.0,0.163,3.0,0.203,4.0,0.195,0.163,全国,,,0.16,全国,,
5217,藤原碧生,106.0,0.165,110.0,0.149,3.0,0.223,6.0,0.257,0.149,全国,,,0.165,全国,,
5218,山田理央,128.0,0.149,126.0,0.146,,,,,0.146,全国,,,0.149,全国,,
5219,森口和紀,87.0,0.172,74.0,0.189,,,,,0.189,全国,●,,0.172,全国,,
5220,青木蓮,113.0,0.117,119.0,0.132,,,,,0.132,全国,,,0.117,全国,,●
5221,竹間隆晟,122.0,0.155,146.0,0.146,,,,,0.146,全国,,,0.155,全国,,
5222,津田陸翔,101.0,0.175,128.0,0.166,3.0,0.133,4.0,0.158,0.166,全国,,,0.175,全国,,
5223,森清友翔,115.0,0.162,117.0,0.158,,,,,0.158,全国,,,0.162,全国,,
