regno,選手名,全国スローn,全国スローST,当地スローn,当地スローST,採用スローST,スロー源,スロー遅れ,スロー巧者,全国ダッシュn,全国ダッシュST,当地ダッシュn,当地ダッシュST,採用ダッシュST,ダッシュ源,ダッシュ遅れ,ダッシュ巧者
4689,豊田結,109,0.153,0,,0.153,全国,,,110,0.162,0,,0.162,全国,,
4690,高石梨菜,25,0.157,0,,0.157,全国,,,21,0.186,0,,0.186,全国,●,
4691,水原慎,79,0.153,0,,0.153,全国,,,74,0.171,0,,0.171,全国,,
4692,酒井俊弘,109,0.155,9,0.183,0.155,全国,,,121,0.126,7,0.151,0.126,全国,,●
4693,松下誉士,119,0.197,12,0.182,0.182,当地,●,,115,0.188,10,0.189,0.189,当地,●,
4694,高田綾,104,0.189,13,0.223,0.223,当地,●,,103,0.175,14,0.228,0.228,当地,●,
4695,尾崎雄二,115,0.154,0,,0.154,全国,,,118,0.142,0,,0.142,全国,,
4697,國弘翔平,115,0.152,5,0.156,0.152,全国,,,113,0.189,5,0.168,0.189,全国,●,
4700,金子和之,122,0.156,0,,0.156,全国,,,114,0.148,0,,0.148,全国,,
4702,三浦敬太,124,0.146,0,,0.146,全国,,,116,0.129,0,,0.129,全国,,●
4703,森永隆,138,0.148,0,,0.148,全国,,,123,0.149,0,,0.149,全国,,
4704,河野大,175,0.133,5,0.162,0.133,全国,,,138,0.139,4,0.147,0.139,全国,,
4705,吉川勇作,96,0.138,12,0.168,0.168,当地,,,107,0.166,13,0.167,0.167,当地,,
4706,三浦洋次朗,139,0.167,5,0.172,0.167,全国,,,136,0.17,5,0.166,0.17,全国,,
4708,半田尚也,89,0.176,0,,0.176,全国,,,101,0.191,0,,0.191,全国,●,
4709,岡村将也,125,0.156,0,,0.156,全国,,,122,0.165,0,,0.165,全国,,
4710,福田宗平,163,0.143,0,,0.143,全国,,,133,0.135,0,,0.135,全国,,
4711,前出達吉,128,0.148,10,0.172,0.172,当地,,,130,0.157,10,0.17,0.17,当地,,
4713,白神優,165,0.125,4,0.16,0.125,全国,,●,147,0.131,2,0.19,0.131,全国,,
4714,喜多須杏奈,110,0.15,0,,0.15,全国,,,108,0.188,0,,0.188,全国,●,
4715,村上遼,111,0.132,0,,0.132,全国,,,100,0.146,0,,0.146,全国,,
4718,北川太一,117,0.156,9,0.181,0.156,全国,,,115,0.144,8,0.14,0.144,全国,,
4719,上條暢嵩,150,0.13,0,,0.13,全国,,●,129,0.137,0,,0.137,全国,,
4720,西澤日花里,92,0.195,0,,0.195,全国,●,,91,0.189,0,,0.189,全国,●,
4723,寺島吉彦,80,0.183,22,0.172,0.172,当地,,,111,0.163,19,0.179,0.179,当地,,
4724,吉田祐貴,66,0.178,1,0.18,0.178,全国,,,71,0.181,4,0.297,0.181,全国,●,
4725,佐竹太一,121,0.18,6,0.17,0.18,全国,,,117,0.171,8,0.207,0.171,全国,,
4726,島田なぎさ,33,0.147,0,,0.147,全国,,,27,0.132,0,,0.132,全国,,
4727,安部慎一,100,0.145,0,,0.145,全国,,,103,0.157,0,,0.157,全国,,
4728,山口亮,102,0.173,14,0.163,0.163,当地,,,100,0.194,14,0.214,0.214,当地,●,
