jcd,date,race,band,points,cost,hit,ret,synth,fair_p,combo,payout,points_n50,cost_n50,hit_n50,ret_n50,fair_p_n50,rank_win
09,2025-11-08,4,head4,20,2000,0,0,5.37,0.1398,1-3-4,620,12,1200,0,0,0.1222,1
09,2025-11-08,4,head5,20,2000,0,0,73.47,0.0102,1-3-4,620,0,0,0,0,0.0,1
09,2025-11-08,4,head6,20,2000,0,0,20.17,0.0372,1-3-4,620,2,200,0,0,0.0103,1
09,2025-11-08,4,anti_in,100,10000,0,0,1.71,0.4399,1-3-4,620,35,3500,0,0,0.3518,1
09,2025-11-09,4,head1,20,2000,1,1280,2.08,0.361,1-2-4,1280,16,1600,1,1280,0.3381,1
09,2025-11-09,4,head2,20,2000,0,0,4.19,0.1788,1-2-4,1280,12,1200,0,0,0.1401,1
09,2025-11-09,4,head3,20,2000,0,0,7.4,0.1013,1-2-4,1280,5,500,0,0,0.0505,1
09,2025-11-09,4,head4,20,2000,0,0,2.95,0.2543,1-2-4,1280,15,1500,0,0,0.2318,1
09,2025-11-09,4,head5,20,2000,0,0,17.53,0.0428,1-2-4,1280,0,0,0,0,0.0,1
09,2025-11-09,4,head6,20,2000,0,0,11.95,0.0628,1-2-4,1280,2,200,0,0,0.0141,1
09,2025-11-09,4,anti_in,100,10000,0,0,1.17,0.64,1-2-4,1280,34,3400,0,0,0.4365,1
09,2025-11-10,4,head1,20,2000,0,0,1.2,0.6225,4-5-1,2600,17,1700,0,0,0.6156,10
09,2025-11-10,4,head2,20,2000,0,0,11.62,0.0645,4-5-1,2600,6,600,0,0,0.0416,10
09,2025-11-10,4,head3,20,2000,0,0,21.02,0.0357,4-5-1,2600,4,400,0,0,0.0147,10
09,2025-11-10,4,head4,20,2000,1,2600,3.79,0.1978,4-5-1,2600,15,1500,1,2600,0.1856,10
09,2025-11-10,4,head5,20,2000,0,0,10.32,0.0726,4-5-1,2600,8,800,0,0,0.0543,10
09,2025-11-10,4,head6,20,2000,0,0,86.61,0.0087,4-5-1,2600,0,0,0,0,0.0,10
09,2025-11-10,4,anti_in,100,10000,1,2600,1.98,0.3793,4-5-1,2600,33,3300,1,2600,0.2962,10
09,2025-11-18,4,head1,20,2000,0,0,2.92,0.2571,2-3-1,2650,12,1200,0,0,0.2266,8
09,2025-11-18,4,head2,20,2000,1,2650,1.9,0.3938,2-3-1,2650,17,1700,1,2650,0.3785,8
09,2025-11-18,4,head3,20,2000,0,0,4.32,0.1737,2-3-1,2650,13,1300,0,0,0.148,8
09,2025-11-18,4,head4,20,2000,0,0,6.21,0.1207,2-3-1,2650,8,800,0,0,0.0686,8
09,2025-11-18,4,head5,20,2000,0,0,29.82,0.0251,2-3-1,2650,0,0,0,0,0.0,8
09,2025-11-18,4,head6,20,2000,0,0,24.3,0.0309,2-3-1,2650,0,0,0,0,0.0,8
09,2025-11-18,4,anti_in,100,10000,1,2650,1.01,0.7443,2-3-1,2650,38,3800,1,2650,0.5951,8
09,2025-11-19,4,head1,20,2000,0,0,1.56,0.4805,3-6-1,2830,18,1800,0,0,0.4735,10
09,2025-11-19,4,head2,20,2000,0,0,31.39,0.0239,3-6-1,2830,0,0,0,0,0.0,10
09,2025-11-19,4,head3,20,2000,1,2830,3.32,0.2259,3-6-1,2830,12,1200,1,2830,0.2056,10
09,2025-11-19,4,head4,20,2000,0,0,8.15,0.092,3-6-1,2830,7,700,0,0,0.066,10
09,2025-11-19,4,head5,20,2000,0,0,12.93,0.058,3-6-1,2830,4,400,0,0,0.0208,10
09,2025-11-19,4,head6,20,2000,0,0,6.18,0.1214,3-6-1,2830,9,900,0,0,0.0889,10
09,2025-11-19,4,anti_in,100,10000,1,2830,1.44,0.5212,3-6-1,2830,32,3200,1,2830,0.3813,10
