登番,名前,級,全国3/4進入,全国まくり率,丸亀3/4進入,丸亀まくり率,採用値,絞りまくり型
5226,藤田俊祐,B1,45,0.156,4,,0.156,●
4535,北山康介,A2,58,0.138,4,,0.138,●
5216,長谷川晴哉,A1,107,0.121,4,,0.121,●
4636,赤池修平,B1,57,0.158,3,,0.158,●
4186,小川時光,B1,55,0.018,0,,0.018,
5137,川原涼,A2,55,0.091,0,,0.091,
3948,大町利克,B1,55,0.0,0,,0.0,
3912,川原正明,B1,78,0.192,4,,0.192,●
3950,石川哲秀,B1,55,0.073,0,,0.073,
4448,青木玄太,A1,81,0.148,4,,0.148,●
3652,森下勇,B1,63,0.048,0,,0.048,
4635,峰重力也,A2,61,0.148,5,,0.148,●
5301,岩下巧斗,B1,75,0.093,0,,0.093,
3737,上平真二,A1,80,0.138,4,,0.138,●
4631,新井英孝,B1,65,0.046,3,,0.046,
5373,諏訪玲奈,B2,35,0.0,0,,0.0,
4263,武重雄介,B1,66,0.076,4,,0.076,
5313,鈴木唯央,B1,55,0.055,2,,0.055,
5034,若林義人,A1,103,0.291,0,,0.291,●
4536,喜井つかさ,A2,81,0.099,0,,0.099,
3930,岸本隆,A2,85,0.106,4,,0.106,
3968,茶谷信次,A2,77,0.117,1,,0.117,
5087,佐藤航,A1,86,0.174,2,,0.174,●
4580,長谷川雅和,B1,81,0.074,2,,0.074,
3793,高橋真吾,B1,49,0.02,3,,0.02,
5115,香川颯太,B1,50,0.1,4,,0.1,
4248,岡本大,B1,71,0.07,5,,0.07,
3484,芝田浩治,A2,86,0.093,8,,0.093,
5035,櫻井優,A2,79,0.127,5,,0.127,●
4411,沢田昭宏,A2,79,0.114,3,,0.114,
5302,秋末秦悟,B1,63,0.0,3,,0.0,
5112,砂長知輝,A1,86,0.14,7,,0.14,●
3613,角谷健吾,A2,98,0.112,8,,0.112,
4323,山田佑樹,B1,65,0.092,7,,0.092,
4897,深見亜由美,B1,67,0.03,5,,0.03,
4587,木田峰由季,A1,77,0.169,0,,0.169,●
5070,中島航,B1,59,0.051,0,,0.051,
3615,横田茂,B1,76,0.066,1,,0.066,
3804,中渡修作,B1,79,0.038,2,,0.038,
4484,稲生夏季,B1,66,0.045,0,,0.045,
3642,大塚浩二,B1,63,0.032,1,,0.032,
5329,金子龍斗,B1,52,0.115,2,,0.115,
4680,後藤美翼,A2,74,0.041,0,,0.041,
5249,三木晴斗,B1,61,0.082,6,,0.082,
5252,荒木颯斗,A2,70,0.171,4,,0.171,●
4339,平瀬城啓,B1,65,0.015,0,,0.015,
4989,石原翼,A2,90,0.144,1,,0.144,●
4247,齊藤優,B1,81,0.111,4,,0.111,
4319,三宅潤,A2,80,0.1,2,,0.1,
4152,深水慎一郎,A2,57,0.105,2,,0.105,
4159,向後龍一,A2,87,0.069,0,,0.069,
3333,丸尾義孝,A1,96,0.146,2,,0.146,●
5124,上瀧絢也,B1,51,0.098,7,,0.098,
4994,山本梨菜,A2,78,0.141,5,,0.141,●
5238,笹木香吾,A2,76,0.25,0,,0.25,●
5264,登みひ果,B1,75,0.08,5,,0.08,
4442,松竹大輔,B1,72,0.083,3,,0.083,
3951,石川吉鎬,B1,89,0.079,2,,0.079,
4449,中嶋達也,B1,78,0.09,0,,0.09,
5125,高井雄基,A2,62,0.097,6,,0.097,
5183,中野孝二,B1,64,0.078,0,,0.078,
4253,西川真人,B1,92,0.011,3,,0.011,
4991,宗行治哉,A1,76,0.105,0,,0.105,
3988,古川誠之,A2,90,0.133,4,,0.133,●
5032,谷口知優,A2,77,0.052,23,0.087,0.087,
4233,亀山雅幸,A2,75,0.133,4,,0.133,●
4537,渡邉和将,A1,82,0.134,0,,0.134,●
3931,黒崎竜也,A2,58,0.086,0,,0.086,
3685,荒井輝年,A2,78,0.128,0,,0.128,●
4342,谷野錬志,A2,76,0.211,5,,0.211,●
4898,菊地敬介,B1,51,0.118,0,,0.118,
5214,田中宏典,B1,69,0.072,6,,0.072,
4491,田中堅,B1,74,0.0,0,,0.0,
4443,津田裕絵,B1,85,0.059,8,,0.059,
5174,川井萌,B2,33,0.061,5,,0.061,
5204,宇恵有香,B2,29,0.034,0,,0.034,
4218,吉川喜継,A1,118,0.085,4,,0.085,
4464,山下友貴,A1,75,0.067,0,,0.067,
