regno,選手名,slow_st,slow_src,slow_flag,dash_st,dash_src,dash_flag
3470,新田芳美,0.165,全国,,0.168,全国,
3471,赤峰和也,0.15,当地,,0.186,当地,遅れ
3473,石川真二,0.122,当地,巧者,,全国,
3474,松瀬弘美,0.178,全国,,0.189,全国,遅れ
3475,橋本久和,0.17,当地,,0.194,全国,遅れ
3477,近藤稔也,0.183,全国,遅れ,0.199,全国,遅れ
3478,嶋田貴支,0.15,全国,,0.178,全国,
3482,金子猛志,0.152,全国,,0.158,全国,
3484,芝田浩治,0.16,全国,,0.176,全国,
3489,大場敏,0.147,全国,,0.153,当地,
3497,後藤浩,0.175,全国,,0.172,全国,
3499,市川哲也,0.134,全国,,0.144,全国,
3502,渡邉英児,0.163,全国,,0.167,全国,
3503,堂原洋史,0.163,全国,,0.162,全国,
3505,山田竜一,0.148,全国,,0.139,全国,
3507,藤井徹,0.183,全国,遅れ,0.224,全国,遅れ
3508,久富政弘,0.169,全国,,0.217,全国,遅れ
3509,池千夏,0.144,全国,,0.144,全国,
3514,山一鉄也,0.155,全国,,0.176,全国,
3516,吉原聖人,0.163,全国,,0.185,全国,遅れ
3517,高橋勲,0.148,全国,,0.151,全国,
3518,倉田郁美,0.195,全国,遅れ,0.19,全国,遅れ
3519,冨田秀幸,0.163,全国,,0.172,全国,
3523,寳田亮治,0.193,全国,遅れ,0.196,全国,遅れ
3527,中嶋誠一郎,0.164,全国,,0.168,全国,
3528,笠野友紀恵,0.205,全国,遅れ,0.186,全国,遅れ
3532,柴田光,0.159,全国,,0.145,全国,
3535,渡修平,0.183,全国,遅れ,0.203,全国,遅れ
3538,菊池峰晴,0.208,全国,遅れ,0.22,全国,遅れ
3539,金子順一,0.177,全国,,0.221,当地,遅れ
3541,三嶌誠司,0.166,全国,,0.158,全国,
3542,清水紀克,0.2,当地,遅れ,0.235,全国,遅れ
3543,福田雅一,0.156,全国,,0.164,全国,
3544,豊田訓靖,0.201,全国,遅れ,0.197,全国,遅れ
3546,中里昌志,0.183,全国,遅れ,0.175,全国,
3548,室田泰史,0.114,全国,巧者,0.127,全国,巧者
3550,都築正治,0.151,全国,,0.165,全国,
3551,藤田美代,0.194,全国,遅れ,0.177,全国,
3554,仲口博崇,0.176,全国,,0.195,全国,遅れ
3556,田中信一郎,0.14,当地,,0.146,全国,
3557,太田和美,0.138,全国,,0.151,全国,
3558,山本浩次,0.154,全国,,0.163,全国,
3562,山下和彦,0.17,全国,,0.166,全国,
3563,堤昇,0.154,全国,,0.164,全国,
3564,桑原啓,0.175,全国,,0.163,全国,
3566,川添英正,0.177,全国,,0.209,全国,遅れ
3567,吉岡誠,0.2,当地,遅れ,0.146,当地,
3568,木村光宏,0.17,全国,,0.163,全国,
3569,増田進,0.169,全国,,0.216,当地,遅れ
3572,安田政彦,0.18,全国,,0.219,全国,遅れ
3574,大神康司,0.148,当地,,0.226,全国,遅れ
3576,白水勝也,0.164,当地,,0.175,全国,
3577,向所浩二,0.169,全国,,0.144,全国,
3578,塩田雄一,0.19,全国,遅れ,0.18,全国,
3579,中里優子,0.177,全国,,0.174,全国,
3580,水口由紀,0.191,全国,遅れ,0.197,全国,遅れ
3581,加木郁,0.197,全国,遅れ,0.186,全国,遅れ
3582,吉川昭男,0.166,当地,,0.183,全国,遅れ
3583,齋藤智裕,0.193,全国,遅れ,0.177,全国,
3584,佐々木英樹,0.175,全国,,0.176,全国,
3587,武田信一,0.162,全国,,0.165,全国,
3589,西村勝,0.171,全国,,0.156,全国,
3590,濱野谷憲吾,0.132,全国,,0.145,全国,
3591,後藤孝義,0.175,全国,,0.216,全国,遅れ
3596,河上年昭,0.17,全国,,0.164,全国,
3600,玄馬徹,0.29,全国,遅れ,,全国,
3602,奥平拓也,0.186,全国,遅れ,0.197,全国,遅れ
3604,武藤綾子,0.189,全国,遅れ,0.19,全国,遅れ
3605,中村守成,0.185,全国,遅れ,0.192,全国,遅れ
3606,川北浩貴,0.151,全国,,0.182,全国,遅れ
3611,岩崎芳美,0.14,全国,,0.141,全国,
3612,馬袋義則,0.143,全国,,0.125,全国,巧者
3613,角谷健吾,0.14,全国,,0.157,全国,
3614,谷勝幸,0.165,全国,,0.167,全国,
3615,横田茂,0.161,全国,,0.162,全国,
3616,中村真,0.152,全国,,0.168,全国,
3617,竹田広樹,0.211,当地,遅れ,0.22,当地,遅れ
3618,海野ゆかり,0.134,当地,,0.15,当地,
3619,長谷川充,0.179,全国,,0.195,全国,遅れ
3620,信濃由行,0.177,全国,,0.174,全国,
3621,天野晶夫,0.177,全国,,0.17,全国,
3623,深川真二,0.142,全国,,,全国,
3627,井上恵一,0.187,当地,遅れ,0.203,当地,遅れ
3629,浅見昌克,0.135,全国,,0.143,全国,
3630,黒田誠司,0.171,全国,,0.163,全国,
3631,田添康介,0.188,全国,遅れ,0.183,全国,遅れ
3635,石田政吾,0.148,全国,,0.179,全国,
3637,齋藤和政,0.174,全国,,0.194,全国,遅れ
3641,一瀬明,0.168,全国,,0.168,全国,
3642,大塚浩二,0.179,全国,,0.197,全国,遅れ
3643,米田隆弘,0.186,全国,遅れ,0.162,当地,
3645,淺田千亜希,0.143,全国,,0.151,全国,
3647,伊藤雄二,0.166,全国,,0.188,全国,遅れ
3652,森下勇,0.156,全国,,0.213,全国,遅れ
3653,品川賢次,0.2,全国,遅れ,0.198,全国,遅れ
